partida	titulo	ley	rubrica	texto
0	0	2	Prohemio	DEspues que la suma clemençia & piedad del muy alto dios trino & vno plogo de reformar & reduzir estos reynos de Espanna en buena gouernaçion & regimiento & iustiçia por las manos de los sus ministros. Los muy poderosos Serenissimos & cristianissimos Rey Don Fernando & Reyna Donna ysabel: nuestros Sennores por sedar & obuiar los grandes males & dannos infortunios discordias & hostiles guerras que en estos reynos antes auia. & para ennobleçer y creçer la cristiana religion & la santa fe catholica. & para quebrantar & derraygar con grandes & immensas industrias & trabajos la dannada seta mahometica: & con sublimidad & alteza de sus reales personas siguiendo la santisima dotrina de nuestro sennor & saluador redimiendo a los fieles xpistianos del durisimo captiuerio en que estaua so yugo & poder de los infieles moros enemigos de nuestra santa fe xpistiana en admiraçion de todas las gentes. porque bienauenturada es la tierra que sus Altezas gouiernan. y porque todos biuientes son tenudos a dar grandes loores al soberano dios ihesu nuestro redenptor. E porque sus Altezas por diuina dispusiçion quisieron iusta & derechamente: no tan solamente con armas. mas avn con leyes & estableçimientos reales: regir & gouernar sus reynos y porque el Sennor Rey Don Alfonso nono fijo del noble Rey Don Fernando: que gano el Andaluzia de poder de los dichos moros queriendo regir & gouernar los dichos sus reynos por leyes con acuerdo de sabios & entendidos varones & de los procuradores de sus reynos: fizo & ordeno las leyes de las siete Partidas sabiamente: sacadas de las leyes de los enperadores & de las fazannas antiguas de Espanna. & dispuso & mando que por ellas la iustiçia fuese executada. E otrosi ordeno el fuero de las leyes: que se llama el fuero Castellano. E despues los otros reyes sus sucesores progenitores del Rey & de la Reyna nuestros Sennores & sus Altezas en diuersas cortes & ayuntamientos sobre nueuos & diuersos negoçios & causas ocurrientes: fizieron & ordenaron muchas leyes las quales sus Altezas con diuina inspiraçion mandaron que fuesen ayuntadas en vn volumen: cada materia sobre si: & fue ordenado por los dichos sennores Reyes progenitores de sus Altezas que por las leyes nueuamente fechas fuesen dirimidas & determinadas las quistiones & pleitos que ocurriesen & que si por ellas no se pudiese determinar que fuessen determinadas por el fuero de las leyes. E otros fueros de que algunas çibdades & lugares vsan: saluo en aquellas cosas en que se requiere emienda & en aquellas cosas que son contra dios & razon. & si por las dichas leyes las dichas quistiones & pleitos no se pudiesen determinar que se determinasen por los libros de las siete partidas. & si sobre las dichas leyes alguna dubda naçiese que al Rey pertenesçiese la emienda & declaraçion o interpetraçion de la tal ley & sobre ello fiziesen ley nueua. esto porque sus Altezas no reconosçientes superior en lo tenporal iustamente lo estableçieron & ordenaron assi. & agora porque las dichas leyes de las partidas por viçios de los escriptores no estauan corregidas: y en muchos libros dellas algunas leyes se fallauan viçiosas deseando el seruiçio de sus Altezas acorde de conçertar poner & copilar las dichas partidas en vn volumen: segund que ellas estan sabiamente ordenadas declarando por relaçion en suma las leyes & concordanças emiendas & coreçiones de algunas por las dichas leyes nueuas que despues de las dichas siete partidas fueron fechas & ordenadas por los dichos sennores Reyes sus progenitores: & por sus Altezas poniendo las dichas adiçiones sobre los titulos & materias conuenientes: & poniendo las remisiones que fazen al caso & a cada vna ley. Por ende inuocando el nonbre del soberano dios nuestro sennor: siguese el Prologo de las dichas siete Partidas: que el dicho Sennor Rey Don Alfonso ordeno. a dios deue onbre temer seruir & amar: porque dios es comienço & medianero & acabamiento de todas las cosas & sin el ninguna cosa no puede ser. Ca por el su poder son fechas: & por el su saber son gouernadas: & por la su bondad son mantenidas. Onde todo onbre que algund buen fecho quisiere començar primero deue poner & llamar a dios en el rogandole & pidiendole merçed que le de saber & voluntad & poder porque lo pueda bien acabar. Por ende nos don Alfonso por la graçia de dios rey de Castilla & de Toledo & de Leon & de Galizia & de Seuilla & de Cordoua & de Murçia de Jahen del Algarue: entendiendo los grandes lugares que tienen de dios los reyes en el mundo & los bienes que del reçiben en muchas maneras sennaladamente en la muy grand onrra que a ellos faze queriendo que ellos sean llamados reyes que es el su nonbre. E otrosi por la su iustiçia que han de fazer para mantener los pueblos de que son sennores que es la su obra: & conosçiendo la muy grand carga que les es con esto si bien no lo fiziesen no tan solamente por el miedo de dios que es sennor poderoso & iustiçiero a cuyo iuyzio han de beuir & de quien se no pueden por ninguna manera asconder ni escusar: que si mal fizieren no ayan la pena que meresçen: mas avn por la verguença & la afruenta de las gentes del mundo que iudgan las cosas mas por voluntad que por derecho auiendo muy grand sabor de nos guardar destas afruentas & del danno que ende nos puede venir & otrosi la muy grand merçed que nos dios fizo en querer que viniessemos del linaie onde venimos: & el grand lugar en que nos puso faziendo nos sennor de tan buenas & de tan grandes tierras commo el quiso meter so nuestro sennorio catamos carreras porque nos & los que despues de nos reynasen en nuestro sennorio sopiesemos çiertamente los derechos para mantener los pueblos en iustiçia & en paz Otrosi porque los entendimientos de los onbres que son departidos en muchas maneras se acordasen en vno con razon verdadera & derecha para conosçer primeramente a dios cuyos son los cuerpos & las almas: & es sennor sobre todos & desi a los sennores tenporales quien reçiben bien fecho en muchas maneras: cada vno en su estado segund su meresçimiento. Otrosi que fiziese aquellas cosas que fuesen tenidas por buenas & desque les viniese bien & se guardasen de fazer yerro que les estuuiese mal & de que les pudiese venir danno por su culpa: & por que todas estas cosas no podrian fazer los onbres conplidamente si no conosçiesen cada vno en su estado qual es lo que le conuiene que faga en el: & de lo que se deue guardar. & otrosi de los estados & de las otras cosas a que deuen obedeçer por eso fablamos todas las razones que a esto pertenesçen: & fezimos ende este libro: & porque las nuestras gentes son leales & de grandes coraçones. por eso ha menester que la lealtad se mantenga con verdad & la fortaleza de la voluntad con derecho & con iustiçia. ca los reyes sabiendo las cosas que son verdaderas & derechas fazen las con ellos & no consentiran a los otros que pasen contra ellas: segund dixo el rey salamon que fue sabio & muy iustiçiero que quando el rey estuuiese en su cadira de iustiçia que ante el su acatamiento se desatan todos los males. ca pues que los entendiere guardara asi & a los otros de danno. & por esta razon fezimos sennaladamente este libro porque sienpre los reyes de nuestro sennorio se caten en el asi commo en espejo & vean las cosas que han en si de emendar & las emienden & segund aquesto que fagan en los suyos. mas porque tantas razones ni tan buenas commo auia menester para mostrar este fecho no podiamos nos fablar por nuestro entendimiento ni por nuestro seso para conplir tan grand obra & tan buena acorrimonos de la merçed de dios & del bendito su fijo nuestro sennor ihesu xpisto en cuyo esfuerço nos lo començamos & de la virgen santa maria su madre que es medianera entre nos & el & de toda la su corte çelestial. & otrosi de los dichos dellos. E otrosi tomamos de las palabras & de los buenos dichos que dixieron los sabios que entendieron razonablemente segund natura & de los derechos de las leyes & de los buenos fechos que fizieron los grandes sennores & los otros onbres sabidores de derecho en las tierras que ouieren de iudgar & posimos cada vna destas razones do conuiene. E a esto nos mouio sennaladamente tres cosas. La primera el muy noble & muy bienauenturado rey don Fernando nuestro padre que era conplido de iustiçia & de derecho que lo quisiera fazer sy mas biuiera & mando a nos que lo fiziesemos. La segunda por dar ayuda & esfuerço a los que despues de nos reynasen porque pudiessen meior sofrir el grand trabaio que han de mantener los reynos los que lo bien quisiesen fazer. La terçera por dar esfuerço & carrera a los onbres de conosçer el derecho & la razon & se sopiesen guardar de fazer tuerto ni yerro & sopiesen amar & obedesçer a los otros sennores que despues de nos viniesen. E este libro fue començado a conponer bispera de sant juan baptista a quatro annos & veynte y tres dias andados del comienço del nuestro reynado que començo quando andaua la hera de adan en çinco mill & onze annos & .lxxxvij. dias E mas la hera del diluuio en quatro mill & trezientos & çinquenta & tres annos romanos & .xxv dias mas. E la hera de nabugodonosor en mill & noueçientos & diez & ocho annos romanos & nouenta dias mas. E la hera de felipo el grand rey de greçia en mill & quinientos & setenta & quatro annos romanos & veynte dos dias mas. E la hera del grand alixandre de maçedonia en mill & quinientos & setenta & dos annos romanos & dozientos & quarenta & tres dias. E la hera de çesar en mill & dozientos & setenta & nueue annos romanos & çiento & çinquenta dias mas. E la hera de la encarnaçion en mill & dozientes & quarenta & vn annos romanos & çiento & çinquenta & dos dias mas. E la hera de los arauigos en seys çientos & veynte & nueue annos romanos & trezientos & veynte & vn dias mas segund los annos. & fue acabado desde que fue començado a siete annos conplidos.
0	0	3	Prologo	SEtenario es cuento muy noble a que loaron mucho los sabios antiguos porque fallan en el muchas cosas & muy sennaladas que se departen por cuento de siete: asi commo todas las criaturas que son departidas en siete maneras. Ca segund dixo aristotiles & los otros sabios: o es esta criatura que non ha cuerpo ninguno mas es espiritual commo angel o alma o es cuerpo sinple que ni se engendra ni se corronpe por naturas: y es çelestial assi commo los çielos & las estrellas: o es cuerpo sinple que se engendra & se corronpe por natura commo los elementos: o es cuerpo conpuesto y alma de cresçer y desentir y no de razon assi commo las animalias que no son onbres: o es cuerpo conpuesto de alma de cresçer mas no de sentimiento ni de razon asi commo los arboles & todas las otras plantas: o no alma ninguna commo las piedras & las cosas minerales que se crian en la tierra. E otrosi todas las otras cosas naturales han mouimiento de siete maneras. ca o es asuso o ayuso o adelante o atras o adiestro o asiniestro o aderredor & en este mismo cuento fallaron los sabios antiguos las siete estrellas mas nonbradas que se llaman planetas que son saturno iupiter mars sol venus mercurio luna de que tomaron cuento por sus nonbres: & ordenaron los siete dias de la semana. Otrosi los sabios departieron por este cuento las siete partes de toda la tierra a que llaman climas. Otrosi por este mismo cuento departieron los metales y algunos y ouo que por este cuento los saberes a que llaman las siete artes. E eso mismo fizieron de la hedad del onbre. E avn por este mismo cuento mostro dios a los que eran sus amigos muchas de sus poridades por fecho & por semeiança assi commo a noe que mando fazer el arca en que se saluase del diluuio en que le mando que todas las cosas que fuesen linpias & buenas metiese en ella siete. y otrosi iacob que fue patriarca siruio a su suegro siete annos porque le diese por muger su fija rachel & porque le dio a lia siruiole otros siete annos por ella misma. y iosep su fijo que fue poderoso sobre toda tierra de egipto por el suenno que solto al rey faraon de los siete annos de mengua & de los siete de abondo segund el suenno que el rey sonnara de las siete espigas & de las siete vacas E otrosi moysen quando le mando fazer el tabernaculo en que fiziesen oraçion los fijos de israel entre todas las otras cosas mandole sennaladamente que pusiesen en el dentro vn candelero de oro fecho en manera de arbol en que ouiesen siete ramos que fue fecho por grand significança. E dauid otrosi que fue rey de cuyo linaie vino nuestro sennor ihesu cristo fizo por spiritu santo el psalterio en que ay siete maytinadas & siete bisperadas que es vna de las mayores scripturas que ay en la santa yglesia. & otrosi mostro en el siete cosas asi commo propheçia & oraçion & loor & bendiçion & arrepentimiento & conseio & penitençia & despues de todo esto quando nuestro sennor quiso fazer tan grand merçed al mundo que vino a tomar carne de la virgen santa maria por nos aduzir a saluaçion: & porque lo pudiesemos ver visiblemente & conosçer que era dios & onbre por este cuento mismo segund dixo el profeta ouo el en si siete dones del spiritu santo. Y otrosi por aqueste cuento segund dixieron los santos: ouo santa maria siete gozos muy grandes con su fijo ihesu cristo segund canta la santa yglesia. y por este mesmo cuento nos dio nuestro sennor ihesu cristo siete sacramentos porque nos pudiesemos saluar. E otrosi por este cuento nos mostro la oraçion del pater noster: en que ay siete petiçiones con que le deuemos pedir merçed. E otrosi sant iuan euangelista que fue pariente & amigo de nuestro sennor iesu cristo fizo vn libro de muy grandes poridades que el le mostro y las mayores cosas que en el scriuio son todas partidas por este cuento de siete. Onde por todas estas razones que muestran muchos bienes que por este cuento son partidos partimos este libro por cuento de siete. En la primera partida del fablamos de todas las cosas que pertenesçen a la fe catholica que faze al onbre conosçer a dios por creençia. E en la segunda fablamos en lo que conuiene fazer a los enperadores & a los reyes tanbien asi commo en los otros fechos porque sus reynos & sus tierras sean acreçentadas & guardadas. E en la terçera partida fablamos de la iustiçia que faze beuir a los onbres vnos con otros en paz & de aquellas cosas & personas que sean menester para ello asi commo de los iuezes & de los personeros & de los testigos & de las pesquisas & de todas las escripturas & de los iuyzios & de las alçadas & de las seruidunbres. E en la quarta partida fablamos de los desposorios & de los matrimonios & de las cosas que le pertenesçen & de los fijos derechos que nasçen dellos & avn de los otros de qualquier manera que sean & del poder que han los padres sobre los fijos & de la obediençia que ellos deuen fazer a los padres & de los vasallos & de los feudos. E en la quinta partida fablamos de los contractos que los onbres fazen entre sy asi commo de los enprestidos & de las donaçiones & de las conpras & de las vendidas & de los canbios & de los alquilees & de los arrendamientos & de las mercadores & de los mercados & de las ferias & del portadgo & de las obligaçiones & de los pennos & de las fiadurias & de las pagas & de todos los otros pleitos & avenençias que los onbres fazen entre si plaziendo a anbas las partes quales son valederos o quales no. E en la sesta partida fablamos de los testamentos & de los cobdiçillos & de las herençias & de la guarda de los huerfanos & de la sustituçion que deue ser fecha a los menores de veynte & çinco annos. E en la setena partida fablamos de las acusaçiones & de las treguas & de las seguranças & de los rieptos & de las trayçiones & de las falsedades & de los furtos & de los robos & de las quemas & de los omezillos & de los adulterios & de todos los otros malefiçios que los onbres fazen & de las penas & de los escarmientos que meresçen por razon dellos. E en cada vna destas siete partidas mostramos todas las cosas que y conuienen segund nos entendemos.
1	0	0	Prohemio	Aqui comiença la primera partida que fabla de todas las cosas que pertenesçen a la fe catholica: que faze al onbre conosçer a dios por creençia.
1	1	0	¶ Titulo primero. Que fabla de las leyes. y por quantas razones es este libro partido por titulos. y en que manera.	A Seruiçio de dios & a pro comunal de las gentes: fazemos este libro segund que mostramos en el comienço del. E partimos lo en siete partes: en la manera que diximos de suso E porque los que lo leyesen fallasen ay todas las cosas conplidas & çiertas por aprouecharse dellas: departimos cada vna partida por titulos: que quiere tanto dezir commo suma de las razones que son mostradas en el & estas razones en que se muestran todas las cosas conplidamente segund son & el entendimiento que han son llamadas leyes Mas que las gentes latinas llaman leyes a las creençias que han los onbres: & cuydarian algunos que estas deste libro no fablasen de otra cosa sino de aquello tan solamente. Por ende nos por sacar los desta dubda. queremos les fazer entender que leyes son estas: & de que lugares fueron tomadas & sacadas: & quales dellas pertenesçen a la fe de la creençia de nuestro sennor ihesu christo: & quales pertenesçen al gouiernamiento de las gentes: & porque han nonbre leyes. & quales deuen ser estas leyes. & commo deuen ser fechas. & a que tienen pro. & qual deue ser el fazedor dellas. & quien ha poder de las fazer. & commo se deuen entender. & quien las puede declarar. & en que manera las deuen obedesçer. & commo son tenudos de las guardar. & commo se deuen iudgar por ellas. & en que manera deuen ayuntar las que fizieren de nueuo con estas. & por quales razones no se pueden escusar los onbres del iuyzio de las leyes por dezir que no las saben. & quales son aquellos que pueden ser escusados de non resçebir la pena que las leyes mandan maguer no las sepan. & sobre todo diremos de las virtudes de las leyes.
1	1	1	Ley primera. que leyes son estas.	¶ Estas leyes de todo este libro son estableçimientos commo los onbres sepan guardar la fe de nuestro sennor ihesu cristo conplidamente assy commo ella es. Otrosi commo biuan los onbres vnos con otros en derecho & en iustiçia segund adelante se muestra en las leyes que fablan en cada vna destas razones & las que sennalada mente pertenesçen a la creençia segund ordenamiento de santa yglesia pusimos en la primera partida deste libro & las otras que fablan del mantenimiento de las gentes son puestas en las seys partidas que se siguen despues.
1	1	2	Ley .ij. onde fueron sacadas las leyes deste libro.	¶ Jus naturale en latin: tanto quiere dezir en romançe commo derecho natural que han en sy los onbres naturalmente. & avn las otras animalias que han sentido. Ca segund el mouimiento deste derecho el masculo se ayunta con la fenbra: a que nos llamamos casamiento: & por el crian los onbres a sus fijos & todas las animalias. Otrosi ius gentiun en latin. tanto quiere dezir commo derecho comunal de todas las gentes: el qual conuiene a los onbres & no a las otras animalias & este fue fallado con razon. & otrosi por fuerça porque los onbres no podrian bien beuir entresy en concordia & en paz. sy todos no vsasen del. ca por tal derecho commo este cada vn onbre conosçe lo suyo apartadamente & son departidos los canpos & los terminos de las villas E otrosi son tenudos los onbres de loar a dios & obedesçer a sus padres & a sus madres & a su tierra: que dizen en latin patria. Otrosi consiente este derecho que cada vno se pueda anparar contra aquellos que desonrra o fuerça le quisieren fazer. & avn mas que toda cosa que fagan por anparamiento de fuerça que le quieran fazer contra su persona que se entiende que lo faze con derecho: y de los mandamientos destas dos cosas. E destas dos maneras de derecho que desuso diximos & de los otros grandes saberes sacamos & ayuntamos todas las leyes deste nuestro libro segund que las fallamos escriptas en los libros de los sabios antiguos poniendo cada ley en su lugar segund el ordenamiento por que las fezimos.
1	1	3	Ley .iij. porque han nonbre leyes.	¶ Ley tanto quiere dezir commo castigo o ensennamiento escripto que liga & apremia la vida del onbre que no faga mal & que muestra & ensenna las cosas que el onbre deue fazer & vsar.
1	1	4	Ley quarta. quales deuen ser las leyes en sy.	¶ Conplidas deuen ser las leyes & muy cuydadas & muy acatadas: de guisa que sean con razon & sobre cosas que puedan ser fechas segund natura & las palabras dellas que sean buenas & llanas & paladinas: de manera que todo onbre las pueda entender & retener. E otrosi han de ser sin escatima & sin punto & que no sean contrarias las vnas de las otras.
1	1	5	Ley .v. como deuen ser fechas las leyes.	¶ Fechas deuen ser las leyes con consejo de onbres entendidos & sabidos & deue ser mucho escogido el derecho que en ellas fuere puesto ante que sean mostradas a las gentes. & quando desta guisa fueren fechas seran sin yerro & a loor del sennor que las faze & sera el pueblo mas tenudo de obedesçerlas & de las guardar.
1	1	6	Ley .vi. que prouecho viene de las leyes.	¶ Muy grande es a marauilla el pro que aduzen las leyes a los onbres ca ellas muestran conosçer a dios: & conosçiendole sabran en que manera lo deuen amar & temer. Otrosi les muestra conosçer su sennor natural en que guisa le deuen ser obedientes & leales. Otrosi muestran commo los onbres se amen vnos a otros queriendo cada vno su derecho para el otro guardandose de le no fazer lo que no queria que fiziesen a el. Ca en guardando bien estas cosas biuen derechamente & con folgura & en paz: & aprouechase cada vno de lo suyo & ha sabor dello: & enriquesçen las gentes & amuchiguase el pueblo & acresçientase el sennorio & refrenase la maldad & cresçe el bien.
