partida	titulo	ley	rubrica	texto
1	0	1	P	Este es el prologo del Libro del fuero de las leyes que fizo el noble don Alffonso Rey de Castiella de Toledo de Leon de Gallizia de Seuilla de Cordoua de Murcia; de Jahen & del Algarue; que fue fijo del muy noble Rey don ferrando. & de la muy noble Reyna donna Beatriz. & començo lo el quarto anno que Regno. en el mes de Junio. en la vigilia de sant Johan babtista. que fue en Era de mill & dozientos. & Nouaenta & quatro annos. & acabo lo en el trezeno anno que regno. en el mes de Agosto. en la uiespera desse mismo sant Johan babtista quando fue martiriado. en Era de mill & trezientos. & tres annos. A dios deue omne adelantar & poner primeramientre. en todos los buenos fechos que quisiere començar. Ca el es comienço & fazedor & acabamiento de todo bien. por el sennor don Alffonso fijo del muy noble rey don ferrando & de la muy noble rreyna donna beatriz. Regnando en castilla en toledo en Leon en Gallizia en Seuilla en cordoba en Murcia en Jahen & en los algarves Començamos este libro en el nombre del padre. & del fijo & del spiritu sancto que son tres personas & un dios uerdadero. & dezimos assi. Por que las uoluntades & los entendimientos de los omnes son departidos en muchas maneras; por ende los fechos & las obras dellos no acuerdan en uno. E desto nascen grandes contiendas. & muchos otros males; por las tierras. Por que conuiene a los Reyes que an a tener & aguardar sus pueblos en paz & en iusticia; que fagan leyes & posturas & fueros. por que el desacuerdo que han los omnes naturalmientre entressi; se acuerde por fuerça de derecho. Assi que los buenos uiuan bien & en paz & los malos sean escarmentados de sus maldades. E por ende nos el sobredicho Rey don Alffonso entendiendo & ueyendo los grandes males que nascien & se leuantauan entre las gentes de nuestro sennorio. por los muchos fueros que usauan en las uillas et en las tierras que eran contra dios & contra derecho; assi que los unos se yudgauan por fazannas desaguisadas & sin razon. & los otros por libros minguados de derecho. & aun aquellos Libros rayen & escriuien y lo que les semeiaua. a pro dellos. & a danno de los pueblos. tolliendo a los Reyes su poderio; & sus derechos. & tomando lo porassi; lo que non deuie seer fecho en ninguna manera. E por todas estas razones minguaua se la iusticia & el derecho. por que los que auien de yudgar los pleytos. non podien en cierto nin conplidamientre dar los iuyzios. ante los dauan auentura. & a su uoluntad. & los que recibien el danno non podien auer iusticia ni emienda; assi cuemo deuen. Onde nos por toller todos estos males que dicho auemos fiziemos estas leyes que son escriptas en este libro a seruicio de dios & a pro comunal de todos los de nuestro sennorio. por que connoscan & entiendan ciertamientre el derecho. & sepan obrar por el. & guardar se de fazer yerro por que no cayan en pena. E tomamos las de los buenos fueros & de las buenas costumbres de Castiella & de Leon & del derecho que fallamos que es mas comunal & mas prouechoso pora las gentes en todo el mundo. Por que tenemos por bien & mandamos que se yudguen por ellas. & no por otra ley ni por otro fuero. Onde qui contra esto fiziesse; dezimos que errarie en tres maneras. La primera contra dios cuya es complidamientre la iusticia & la uerdat; por que este libro es fecho. ¶ La segunda contra sennor natural despreciando so fecho & so mandamiento. ¶ La tercera mostrando se por soberuio & por torticero nol plaziendo el derecho connosçudo & prouechoso comunalmientre a todos.
1	0	2	P	Aqui comiença el primero Libro que muestra que cosas son las Leyes. & fabla de la sancta Trinidat. & de la fe catholica. & de los articulos della. & de los sagramientos de sancta Eglesia. & del Apostoligo & de los otros prelados que los pueden dar. en que manera deuen seer onrrados & guardados. & de los clerigos & de los religiosos. & de todas las otras cosas tanbien de priuilegios cuemo de los otros derechos que pertenescen a sancta Eglesia.
1	1	1	Titulo primero de las leyes. Ley .iª.	A seruicio de dios & a pro comunal de los de nuestro sennorio. dixiemos de suso en el Prologo que faziemos Leyes. & mostramos muchas razones por que conuinie que las fiziessemos E por ende tenemos por bien de fazer entender a las gentes que Leyes son estas que fazemos. & quales deuen seer. & qui las puede fazer. & qual deue seer el fazedor dellas. & a que tienen pro. & por que han nombre Leyes. & cuemo se deuen entender & obedecer & guardar.
1	1	2	Que Leyes son estas. Ley .ijª.	Estas leyes son posturas & establecimientos & fueros cuemo los omnes sepan creer & guardar la fe de nuestro sennor ihesu xpisto complidamientre assi cuemo ella es. E otrossi que uiuan unos con otros en derecho & en iusticia.
1	1	3	Quales deuen seer las leyes. Ley .iijª.	Complidas dezimos que deuen seer las leyes. & muy cuydadas & muy catadas por que sean derechas & prouechosas comunalmientre a todos. & deuen seer llanas & paladinas. por que todo omne las pueda entender & aprouechar se dellas a su derecho. & deuen seer sin escatima & sin punto. por que non pueda uenir sobrellas; disputacion ni contienda.
1	1	4	Quien puede fazer leyes. Ley .iiijª.	Njnguno non puede fazer Leyes; si non emperador o Rey. o otro por su mandamiento dellos. E si otro las fiziere sin su mandado; non deuen auer nombre Leyes. nin deuen seer obedecidas nin guardadas por leyes; nin deuen ualer en ningun tiempo
1	1	5	Qual deue seer el fazedor de las leyes. Ley .vª.	El fazedor de las Leyes deue a dios amar & temer. & tener le ante sus oios quando las fiziere. por que las leyes que fiziere sean complidas & derechas. E deue amar iusticia & uerdat & seer sin cobdicia. pora querer que aya cada uno lo suyo. E deue seer entendudo por saber departir el derecho del tuerto. & apercebudo de razon pora responder ciertamientre a los quel demandaren. E deue seer fuerte a los crueles & a los soberuios. & piadoso pora auer mercet a los culpados & a los mesquinos ol conuiniere. E deue seer omildoso; por non seer soberuio nin cruo a sus pueblos. por su poder nin por su riqueza. & bien razonado. por que sepa mostrar cuemo se deuen entender & guardar las leyes. E deue seer sofrido en oyr bien lo quel dixieren. & mesurado en non se rebatar en dicho ni en fecho.
1	1	6	A que tienen pro las leyes. Ley .viª.	Muy grand es a marauilla el pro que aduzen las leyes a los omnes. Ca ellas les muestran connoscer dios. & connosciendol en que manera le deuen amar & temer. ¶ E otrossi les muestran connoscer su sennor natural. en que guisal deuen seer obedientes & leales. ¶ E otrossi muestran cuemo los omnes se amen unos a otros. queriendo cada uno poral otro su derecho. guardando se de nol fazer. lo que no querrie que a el fiziessen. E guardando bien estas cosas; uiuen derechamientre. & han folgura & paz. & aprouechasse cadauno de lo suyo. & a sabor dello. & enriquecen las gentes. & amochigua se el pueblo. & acrescienta se el sennorio.
1	1	7	Por que an nombre leyes. Ley .vijª.	Rey tanto quier dezir cuemo castigo o ensennamiento scripto que liega a omne que non faga mal o quel aduze a seer leal faziendo derecho. ¶ E fuero tanto quier dezir cuemo ley derechamientre usada por luengo tiempo por escriptura o sin ella. ¶ E postura es lamada todo paramiento bueno que faze el Rey o otri por su mandado. o lo fazen los omnes entressi. & es a pro comunal de la tierra. o de algunos logares sennalados. & despues otorga lo el Rey & confirmalo por priuilegio o por carta. & manda lo guardar.
1	1	8	Cuemo se deuen entender las leyes. .Ley .viijª.	El entendimiento de las leyes deue seer complido & sano. & tomado toda uia a la meior parte. & mas derecha & mas prouechosa & mas uerdadera.
